Genes
GCH1
SOD2
IL6
HGF
LEF1
PMAIP1
CASP1
TAP1
PDGFRB
TNFRSF12A
F2R
BIRC3
EMP1
EGR3
IRF1
WEE1
BGN
ANXA1
CYLD
CASP4
ISG20
ETF1
PSEN2
IER3
IFNGR1
TNFRSF1A
MLKL
RIPK1
RIPK3
ZBP1
CASP8
IFNAR1
IFNAR2
IFNAR3
TNFRSF10A
TNFRSH10B
FAS
SMPD1
AIFM1
APAF1
BCL2
BAD
BAX
BIRC2
CASP10
CASP3
CASP7
CASP6
FASLG
IL1B
IL1RAP
NFKB1
NFKBIA
NTRK1
RELA
TRADD
TRAF2
XIAP
